"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","CDSD","CLDD","DP01","DP10","DSND","DSNW","DT00","DT32","DX32","DX70","DX90","EMNT","EMSD","EMSN","EMXP","EMXT","HDSD","HTDD","PRCP","SNOW","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5"
"USS0007E18S","BONE SPRINGS DIV, WY US","44.68","-107.58","2849.9","2020-03",,"0","0","14","14","31",,"0","31","12","0","0","4","58",,"0.20","47","9206","1251","1.58",,"24.7","33.9","15.4",,,,
"USS0007E18S","BONE SPRINGS DIV, WY US","44.68","-107.58","2849.9","2020-04",,"0","0","20","20","30",,"2","29","8","0","0","-8","65",,"0.20","58","10326","1119","2.69",,"27.7","37.6","17.8",,,,
"USS0007E18S","BONE SPRINGS DIV, WY US","44.68","-107.58","2849.9","2020-05",,"0","0","13","13","31",,"0","21","1","0","0","18","51",,"0.30","68","11085","760","1.99",,"40.5","49.6","31.4",,,,
"USS0007E18S","BONE SPRINGS DIV, WY US","44.68","-107.58","2849.9","2020-06",,"0","0","9","9","5",,"0","3","0","1","0","28","15",,"1.00","70","11576","491","3.30",,"48.6","57.6","39.7",,,,
"USS0007E18S","BONE SPRINGS DIV, WY US","44.68","-107.58","2849.9","2020-07",,"0","0","1","1","0",,"0","0","0","4","0","35","0",,"0.40","75","289","289","0.40",,"55.4","65.6","45.2",,,,
"USS0007E18S","BONE SPRINGS DIV, WY US","44.68","-107.58","2849.9","2020-08",,"0","0","5","5","0",,"0","2","0","7","0","29","0",,"0.40","74","553","265","1.20",,"56.5","66.4","46.6",,,,
"USS0007E18S","BONE SPRINGS DIV, WY US","44.68","-107.58","2849.9","2020-09",,"0","0","3","3","3",,"0","9","0","1","0","16","5",,"0.50","73","1079","525","1.40",,"47.5","57.0","37.9",,,,
"USS0007E18S","BONE SPRINGS DIV, WY US","44.68","-107.58","2849.9","2020-10",,"0","0","13","13","17",,"2","23","7","0","0","-10","18",,"0.90","60","2094","1016","3.50",,"32.2","41.0","23.4",,,,
"USS0007E18S","BONE SPRINGS DIV, WY US","44.68","-107.58","2849.9","2020-11",,"0","0","5","5","30",,"0","24","13","0","0","3","22",,"0.20","54","3260","1166","0.70",,"26.1","34.4","17.9",,,,
"USS0007E18S","BONE SPRINGS DIV, WY US","44.68","-107.58","2849.9","2020-12",,"0","0","9","9","31",,"1","31","19","0","0","-5","29",,"0.20","50","4603","1343","1.30",,"21.7","29.3","14.1",,,,
"USS0007E18S","BONE SPRINGS DIV, WY US","44.68","-107.58","2849.9","2021-01",,"0","0","7","7","29",,"0","31","25","0","0","2","40",,"0.20","37","6029","1426","1.20",,"19.0","26.9","11.1",,,,
"USS0007E18S","BONE SPRINGS DIV, WY US","44.68","-107.58","2849.9","2021-02",,"0","0","15","15","28",,"11","28","25","0","0","-14","53",,"0.40","41","7544","1515","2.69",,"10.9","19.6","2.2",,,,
"USS0007E18S","BONE SPRINGS DIV, WY US","44.68","-107.58","2849.9","2021-03",,"0","0","15","15","31",,"0","31","11","0","0","2","59",,"0.30","46","8784","1241","2.19",,"25.0","34.5","15.5",,,,
"USS0007E18S","BONE SPRINGS DIV, WY US","44.68","-107.58","2849.9","2021-04",,"0","0","20","20","30",,"0","27","8","0","0","2","61",,"0.50","59","9882","1098","3.59",,"28.4","38.6","18.3",,,,
"USS0007E18S","BONE SPRINGS DIV, WY US","44.68","-107.58","2849.9","2021-05",,"0","0","14","14","31",,"0","22","0","0","0","17","62",,"0.30","63","10685","803","2.89",,"39.1","49.7","28.4",,,,
"USS0007E18S","BONE SPRINGS DIV, WY US","44.68","-107.58","2849.9","2021-06",,"3","3","2","2","6",,"0","2","0","6","0","29","25",,"0.30","78","11020","334","0.50",,"54.0","64.5","43.4",,,,
"USS0007E18S","BONE SPRINGS DIV, WY US","44.68","-107.58","2849.9","2021-07",,"10","7","4","4","0",,"0","0","0","9","0","40","0",,"0.50","80","213","213","1.40",,"58.4","68.1","48.6",,,,
"USS0007E18S","BONE SPRINGS DIV, WY US","44.68","-107.58","2849.9","2021-08",,"10","0","8","8","0",,"0","0","0","3","0","35","0",,"0.70","74","567","354","2.50",,"53.6","62.8","44.3",,,,
"USS0007E18S","BONE SPRINGS DIV, WY US","44.68","-107.58","2849.9","2021-09",,"10","0","2","2","0",,"0","8","0","1","0","25","0",,"0.20","70","1053","486","0.30",,"48.8","58.3","39.3",,,,
"USS0007E18S","BONE SPRINGS DIV, WY US","44.68","-107.58","2849.9","2021-10",,"10","0","14","14","23",,"0","20","6","0","0","15","12",,"1.10","60","1977","924","3.40",,"35.2","42.8","27.6",,,,
"USS0007E18S","BONE SPRINGS DIV, WY US","44.68","-107.58","2849.9","2021-11",,"10","0","9","9","30",,"0","29","9","0","0","1","21",,"0.60","50","3099","1122","1.69",,"27.6","35.7","19.5",,,,
"USS0007E18S","BONE SPRINGS DIV, WY US","44.68","-107.58","2849.9","2021-12",,"10","0","12","12","31",,"8","31","25","0","0","-10","34",,"0.30","47","4563","1463","1.59",,"17.8","24.8","10.8",,,,
"USS0007E18S","BONE SPRINGS DIV, WY US","44.68","-107.58","2849.9","2022-01",,"0","0","10","10","31",,"3","31","22","0","0","-10","40",,"0.50","40","5954","1391","1.59",,"20.1","27.8","12.5",,,,
"USS0007E18S","BONE SPRINGS DIV, WY US","44.68","-107.58","2849.9","2022-02",,"0","0","15","15","28",,"10","28","19","0","0","-23","48",,"0.30","39","7368","1414","1.88",,"14.5","24.2","4.7",,,,
